mensaje,spam,label,mensaje_limpio
"hola, ¿cómo estás? espero que tengas un buen día.",0,ham,hola cómo espero buen día
"acabo de terminar el informe que me asignaron, adjunto el archivo.",0,ham,acabo terminar informe asignaron adjunto archivo
¿te gustaría comprar entradas para el concierto de este fin de semana? ¡solo $20!,1,spam,gustaría comprar entradas concierto fin semana solo 20
recordatorio: la reunión del equipo será mañana a las 10:00 en la sala de conferencias.,0,ham,recordatorio reunión equipo mañana 1000 sala conferencias
oferta especial: suscríbete ahora y recibe un 50% de descuento en tu primera compra.,1,spam,oferta especial suscríbete ahora recibe 50 descuento primera compra
"gracias por tu ayuda ayer, realmente aprecio tu apoyo.",0,ham,gracias ayuda ayer realmente aprecio apoyo
¡compra ahora y gana un viaje gratis a miami! haz clic aquí para participar.,1,spam,compra ahora gana viaje gratis miami haz clic aquí participar
¿podrías enviarme el documento antes de las 5 pm? gracias.,0,ham,podrías enviarme documento pm gracias
"¡oferta limitada! solo 100 unidades disponibles, apúrate antes de que se agoten.",1,spam,oferta limitada solo 100 unidades disponibles apúrate agoten
¡feliz cumpleaños! espero que pases un día increíble.,0,ham,feliz cumpleaños espero pases día increíble
"te envío la factura del último mes, revisa los cargos y avísame si hay errores.",0,ham,envío factura último mes revisa cargos avísame si errores
¡gana dinero rápido con este esquema de inversión! rendimiento del 200% garantizado.,1,spam,gana dinero rápido esquema inversión rendimiento 200 garantizado
no olvides revisar el correo electrónico adjunto con los resultados del proyecto.,0,ham,olvides revisar correo electrónico adjunto resultados proyecto
¿quieres probar el nuevo restaurante de sushi? te invito a cenar este viernes.,0,ham,quieres probar nuevo restaurante sushi invito cenar viernes
click aquí para descargar una versión gratuita de nuestro software exclusivo.,1,spam,click aquí descargar versión gratuita software exclusivo
"me gustaría programar una cita para la próxima semana, ¿qué día te va mejor?",0,ham,gustaría programar cita próxima semana día va mejor
"descubre la receta secreta para perder peso sin esfuerzo, ¡pruébala ya!",1,spam,descubre receta secreta perder peso esfuerzo pruébala
¿podrías confirmar la hora del entrenamiento? gracias por tu respuesta.,0,ham,podrías confirmar hora entrenamiento gracias respuesta
"¡oferta irresistible! 2x1 en todos los productos de la tienda online, solo hoy.",1,spam,oferta irresistible 2x1 productos tienda online solo hoy
¿cómo te ha ido en la entrevista de trabajo? espero tu respuesta pronto.,0,ham,cómo ido entrevista trabajo espero respuesta pronto
"te envío el enlace a la presentación que realizaremos mañana, no faltes.",0,ham,envío enlace presentación realizaremos mañana faltes
¡urgente! necesito que envíes tu contraseña para verificar tu cuenta inmediatamente.,1,spam,urgente necesito envíes contraseña verificar cuenta inmediatamente
¿te gustaría recibir noticias sobre los próximos eventos culturales? suscríbete aquí.,1,spam,gustaría recibir noticias próximos eventos culturales suscríbete aquí
"hola, ¿cómo estás? me gustaría concertar una cita para la próxima semana.",0,ham,hola cómo gustaría concertar cita próxima semana
¿podrías enviarme el informe que prometiste? gracias de antemano.,0,ham,podrías enviarme informe prometiste gracias antemano
"el clima hoy está bastante nublado, pero se espera sol para el fin de semana.",0,ham,clima hoy bastante nublado espera sol fin semana
recuerda enviar el documento antes de las 5 p.m. para evitar retrasos.,0,ham,recuerda enviar documento pm evitar retrasos
¡buen trabajo en la reunión de ayer! tus ideas fueron muy valiosas.,0,ham,buen trabajo reunión ayer ideas valiosas
¿tienes algún plan para el fin de semana?quizás podríamos ir al cine.,0,ham,algún plan fin semanaquizás podríamos ir cine
he terminado el proyecto y ahora necesito revisar los últimos detalles.,0,ham,terminado proyecto ahora necesito revisar últimos detalles
¿podrías recordarme la contraseña del wi‑fi? la olvidé.,0,ham,podrías recordarme contraseña wifi olvidé
"me encanta leer novelas de misterio, ¿alguna recomendación?",0,ham,encanta leer novelas misterio alguna recomendación
la política económica del gobierno ha tenido cambios importantes este trimestre.,0,ham,política económica gobierno cambios importantes trimestre
¿has probado el nuevo restaurante de sushi cerca del centro?,0,ham,probado nuevo restaurante sushi cerca centro
"necesito ayuda con la configuración de mi impresora, ¿puedes echarme una mano?",0,ham,necesito ayuda configuración impresora puedes echarme mano
"el partido de fútbol fue emocionante, pero el clima nos salvó de la lluvia.",0,ham,partido fútbol emocionante clima salvó lluvia
"estoy pensando en cambiar mi plan de telefonía, ¿tienes alguna sugerencia?",0,ham,pensando cambiar plan telefonía alguna sugerencia
¡felicidades por tu cumpleaños! que el día esté lleno de alegría y paz.,0,ham,felicidades cumpleaños día lleno alegría paz
publicidad comercial no solicitada o proselitismo no comercial,1,spam,publicidad comercial solicitada proselitismo comercial
"esquemas fraudulentos, incluidos los de enriquecimiento rápido y los esquemas piramidales",1,spam,esquemas fraudulentos incluidos enriquecimiento rápido esquemas piramidales
"intentos de phishing, ofertas irreales o anuncios engañosos",1,spam,intentos phishing ofertas irreales anuncios engañosos
contenido con información engañosa o falsa sobre productos de salud,1,spam,contenido información engañosa falsa productos salud
malware o enlaces dañinos enviados a contactos de trabajo,1,spam,malware enlaces dañinos enviados contactos trabajo
"¡compra ahora!!! oferta única, precios imperdibles, garantía 100%!!!",1,spam,compra ahora oferta única precios imperdibles garantía 100
"descubre los secretos para enriquecerte rápidamente, sin esfuerzo y sin riesgo.",1,spam,descubre secretos enriquecerte rápidamente esfuerzo riesgo
"haga clic aquí para obtener una recompensa instantánea, pero apresúrate, solo quedan 3 unidades.",1,spam,haga clic aquí obtener recompensa instantánea apresúrate solo quedan unidades
"¡oferta exclusiva! compra ahora y gana un 100% de ganancias, solo hoy.",1,spam,oferta exclusiva compra ahora gana 100 ganancias solo hoy
"descubre el secreto para perder peso en 3 días sin hacer ejercicio, visita nuestro sitio web ahora.",1,spam,descubre secreto perder peso días hacer ejercicio visita sitio web ahora
¡haz clic aquí y consigue iphone gratis! solo necesitas enviar tu número de tarjeta.,1,spam,haz clic aquí consigue iphone gratis solo necesitas enviar número tarjeta
"oferta limitada: compra ahora y recibe un regalo sorpresa, solo para los primeros 100 clientes.",1,spam,oferta limitada compra ahora recibe regalo sorpresa solo primeros 100 clientes
"promoción especial: compra ahora y recibe un 50% de descuento, solo si respondes a este mensaje.",1,spam,promoción especial compra ahora recibe 50 descuento solo si respondes mensaje
"sistema de enriquecimiento rápido: invierte $10 y gana $10,000 en una semana.",1,spam,sistema enriquecimiento rápido invierte 10 gana 10000 semana
"¡alerta! tu computadora tiene un virus, descarga nuestro antivirus ahora.",1,spam,alerta computadora virus descarga antivirus ahora
"¡compra ahora! paga solo 1 dollar y obtén 100 productos, oferta increíble.",1,spam,compra ahora paga solo dollar obtén 100 productos oferta increíble
"¡urgente! tu cuenta está comprometida, verifica tu información haciendo clic en el enlace.",1,spam,urgente cuenta comprometida verifica información haciendo clic enlace
hoy vamos a visitar el museo de arte contemporáneo en barcelona.,0,ham,hoy vamos visitar museo arte contemporáneo barcelona
"buenos días, ¿cómo estás?",0,ham,buenos días cómo
ayer vi una película interesante sobre la historia de españa.,0,ham,ayer vi película interesante historia españa
el clima mañana en madrid será parcialmente nublado con temperaturas de 22 grados.,0,ham,clima mañana madrid parcialmente nublado temperaturas 22 grados
me encanta leer libros de poesía en mi tiempo libre.,0,ham,encanta leer libros poesía tiempo libre
¿qué planes tienes para el fin de semana?,0,ham,planes fin semana
el equipo de fútbol ganó el partido con un gol en el minuto 85.,0,ham,equipo fútbol ganó partido gol minuto 85
necesito comprar alimentos en el supermercado antes de las 19:00.,0,ham,necesito comprar alimentos supermercado 1900
¿cuál es tu canción favorita?,0,ham,cuál canción favorita
estoy estudiando para mi examen de matemáticas el próximo mes.,0,ham,estudiando examen matemáticas próximo mes
el parque central está renovado y ahora tiene más árboles.,0,ham,parque central renovado ahora árboles
¿podrías recomendarme una buena receta de gazpacho?,0,ham,podrías recomendarme buena receta gazpacho
la reunión será el viernes a las 10:00 en la oficina principal.,0,ham,reunión viernes 1000 oficina principal
"gracias por tu ayuda, realmente lo aprecio.",0,ham,gracias ayuda realmente aprecio
el nuevo restaurant de sushi abrió sus puertas la semana pasada.,0,ham,nuevo restaurant sushi abrió puertas semana pasada
¿te gusta el jazz o prefieres el rock?,0,ham,gusta jazz prefieres rock
¡compra ahora el suplemento milagro para perder peso en 3 días! oferta limitada.,1,spam,compra ahora suplemento milagro perder peso días oferta limitada
"visita este sitio web y gana $1000 cada semana sin hacer nada, ¡es una oportunidad única!",1,spam,visita sitio web gana 1000 cada semana hacer oportunidad única
"descarga la aplicación que te hará rico, hackea cuentas bancarias y recibe pagos automáticos.",1,spam,descarga aplicación hará rico hackea cuentas bancarias recibe pagos automáticos
"oferta especial: suscripción gratuita a contenido para adultos, solo por tiempo limitado.",1,spam,oferta especial suscripción gratuita contenido adultos solo tiempo limitado
classified: investiga la oportunidad de inversión que promete 500% de retorno en una semana.,1,spam,classified investiga oportunidad inversión promete 500 retorno semana
haz clic aquí para ver un video exclusivo con información confidencial sobre el lanzamiento de nuestro producto secreto.,1,spam,haz clic aquí ver video exclusivo información confidencial lanzamiento producto secreto
"¡promoción! compra 2 y lleva 3 gratis en medicamentos de venta libre, sin receta.",1,spam,promoción compra lleva gratis medicamentos venta libre receta
"urgente: tu cuenta ha sido seleccionada para recibir un regalo de 10,000 usd, responde ahora.",1,spam,urgente cuenta sido seleccionada recibir regalo 10000 usd responde ahora
"descubre el método secreto para ganar dinero rápidamente con este esquema piramidal, inscríbete hoy.",1,spam,descubre método secreto ganar dinero rápidamente esquema piramidal inscríbete hoy
"¡oferta exclusiva! prueba nuestro nuevo suplemento para subir la testosterona, solo para hombres.",1,spam,oferta exclusiva prueba nuevo suplemento subir testosterona solo hombres
