mensaje,spam,label
"Hola, ¿cómo estás? Espero que tengas un buen día.",0,ham
"Acabo de terminar el informe que me asignaron, adjunto el archivo.",0,ham
¿Te gustaría comprar entradas para el concierto de este fin de semana? ¡Solo $20!,1,spam
Recordatorio: la reunión del equipo será mañana a las 10:00 en la sala de conferencias.,0,ham
Oferta especial: suscríbete ahora y recibe un 50% de descuento en tu primera compra.,1,spam
"Gracias por tu ayuda ayer, realmente aprecio tu apoyo.",0,ham
¡Compra ahora y gana un viaje gratis a Miami! Haz clic aquí para participar.,1,spam
¿Podrías enviarme el documento antes de las 5 pm? Gracias.,0,ham
"¡Oferta limitada! Solo 100 unidades disponibles, apúrate antes de que se agoten.",1,spam
¡Feliz cumpleaños! Espero que pases un día increíble.,0,ham
"Te envío la factura del último mes, revisa los cargos y avísame si hay errores.",0,ham
¡Gana dinero rápido con este esquema de inversión! Rendimiento del 200% garantizado.,1,spam
No olvides revisar el correo electrónico adjunto con los resultados del proyecto.,0,ham
¿Quieres probar el nuevo restaurante de sushi? Te invito a cenar este viernes.,0,ham
Click aquí para descargar una versión gratuita de nuestro software exclusivo.,1,spam
"Me gustaría programar una cita para la próxima semana, ¿qué día te va mejor?",0,ham
"Descubre la receta secreta para perder peso sin esfuerzo, ¡pruébala ya!",1,spam
¿Podrías confirmar la hora del entrenamiento? Gracias por tu respuesta.,0,ham
"¡Oferta irresistible! 2x1 en todos los productos de la tienda online, solo hoy.",1,spam
¿Cómo te ha ido en la entrevista de trabajo? Espero tu respuesta pronto.,0,ham
"Te envío el enlace a la presentación que realizaremos mañana, no faltes.",0,ham
¡Urgente! Necesito que envíes tu contraseña para verificar tu cuenta inmediatamente.,1,spam
¿Te gustaría recibir noticias sobre los próximos eventos culturales? Suscríbete aquí.,1,spam
"Hola, ¿cómo estás? Me gustaría concertar una cita para la próxima semana.",0,ham
¿Podrías enviarme el informe que prometiste? Gracias de antemano.,0,ham
"El clima hoy está bastante nublado, pero se espera sol para el fin de semana.",0,ham
Recuerda enviar el documento antes de las 5 p.m. para evitar retrasos.,0,ham
¡Buen trabajo en la reunión de ayer! Tus ideas fueron muy valiosas.,0,ham
¿Tienes algún plan para el fin de semana?Quizás podríamos ir al cine.,0,ham
He terminado el proyecto y ahora necesito revisar los últimos detalles.,0,ham
¿Podrías recordarme la contraseña del Wi‑Fi? La olvidé.,0,ham
"Me encanta leer novelas de misterio, ¿alguna recomendación?",0,ham
La política económica del gobierno ha tenido cambios importantes este trimestre.,0,ham
¿Has probado el nuevo restaurante de sushi cerca del centro?,0,ham
"Necesito ayuda con la configuración de mi impresora, ¿puedes echarme una mano?",0,ham
"El partido de fútbol fue emocionante, pero el clima nos salvó de la lluvia.",0,ham
"Estoy pensando en cambiar mi plan de telefonía, ¿tienes alguna sugerencia?",0,ham
¡Felicidades por tu cumpleaños! Que el día esté lleno de alegría y paz.,0,ham
Publicidad comercial no solicitada o proselitismo no comercial,1,spam
"Esquemas fraudulentos, incluidos los de enriquecimiento rápido y los esquemas piramidales",1,spam
"Intentos de phishing, ofertas irreales o anuncios engañosos",1,spam
Contenido con información engañosa o falsa sobre productos de salud,1,spam
Malware o enlaces dañinos enviados a contactos de trabajo,1,spam
"¡COMPRA AHORA!!! OFERTA ÚNICA, PRECIOS IMPERDIBLES, GARANTÍA 100%!!!",1,spam
"Descubre los secretos para enriquecerte rápidamente, sin esfuerzo y sin riesgo.",1,spam
"Haga clic aquí para obtener una recompensa instantánea, pero apresúrate, solo quedan 3 unidades.",1,spam
"¡OFERTA EXCLUSIVA! COMPRA AHORA Y GANA UN 100% DE GANANCIAS, SOLO HOY.",1,spam
"Descubre el secreto para perder peso en 3 días sin hacer ejercicio, visita nuestro sitio web ahora.",1,spam
¡Haz clic aquí y consigue iPhone gratis! Solo necesitas enviar tu número de tarjeta.,1,spam
"Oferta limitada: compra ahora y recibe un regalo sorpresa, solo para los primeros 100 clientes.",1,spam
"Promoción especial: compra ahora y recibe un 50% de descuento, solo si respondes a este mensaje.",1,spam
"Sistema de enriquecimiento rápido: invierte $10 y gana $10,000 en una semana.",1,spam
"¡Alerta! Tu computadora tiene un virus, descarga nuestro antivirus ahora.",1,spam
"¡COMPRA AHORA! PAGA SOLO 1 DOLLAR Y OBTÉN 100 PRODUCTOS, OFERTA INCREÍBLE.",1,spam
"¡Urgente! Tu cuenta está comprometida, verifica tu información haciendo clic en el enlace.",1,spam
Hoy vamos a visitar el museo de arte contemporáneo en Barcelona.,0,ham
"Buenos días, ¿cómo estás?",0,ham
Ayer vi una película interesante sobre la historia de España.,0,ham
El clima mañana en Madrid será parcialmente nublado con temperaturas de 22 grados.,0,ham
Me encanta leer libros de poesía en mi tiempo libre.,0,ham
¿Qué planes tienes para el fin de semana?,0,ham
El equipo de fútbol ganó el partido con un gol en el minuto 85.,0,ham
Necesito comprar alimentos en el supermercado antes de las 19:00.,0,ham
¿Cuál es tu canción favorita?,0,ham
Estoy estudiando para mi examen de matemáticas el próximo mes.,0,ham
El parque central está renovado y ahora tiene más árboles.,0,ham
¿Podrías recomendarme una buena receta de gazpacho?,0,ham
La reunión será el viernes a las 10:00 en la oficina principal.,0,ham
"Gracias por tu ayuda, realmente lo aprecio.",0,ham
El nuevo restaurant de sushi abrió sus puertas la semana pasada.,0,ham
¿Te gusta el jazz o prefieres el rock?,0,ham
¡Compra ahora el suplemento milagro para perder peso en 3 días! Oferta limitada.,1,spam
"Visita este sitio web y gana $1000 cada semana sin hacer nada, ¡es una oportunidad única!",1,spam
"Descarga la aplicación que te hará rico, hackea cuentas bancarias y recibe pagos automáticos.",1,spam
"Oferta especial: suscripción gratuita a contenido para adultos, solo por tiempo limitado.",1,spam
CLASSIFIED: Investiga la oportunidad de inversión que promete 500% de retorno en una semana.,1,spam
Haz clic aquí para ver un video exclusivo con información confidencial sobre el lanzamiento de nuestro producto secreto.,1,spam
"¡Promoción! Compra 2 y lleva 3 gratis en medicamentos de venta libre, sin receta.",1,spam
"URGENTE: Tu cuenta ha sido seleccionada para recibir un regalo de 10,000 USD, responde ahora.",1,spam
"Descubre el método secreto para ganar dinero rápidamente con este esquema piramidal, inscríbete hoy.",1,spam
"¡Oferta exclusiva! Prueba nuestro nuevo suplemento para subir la testosterona, solo para hombres.",1,spam
Haz clic y aprende cómo obtener tarjetas de regalo gratis sin hacer nada.,1,spam
Aviso importante: Cambia tu número de tarjeta de crédito a este nuevo número para evitar cargos fraudulentos.,1,spam
Hoy el cielo está parcialmente nublado con temperaturas alrededor de 22 grados.,0,ham
Receta fácil de gazpacho andaluz para preparar en verano.,0,ham
El municipio anunció la apertura de una nueva biblioteca pública el próximo mes.,0,ham
¿Cuál es tu película favorita de los años 90? Comenta abajo.,0,ham
Los precios de la energía han subido un 10% en los últimos tres meses.,0,ham
Estoy aprendiendo a tocar la guitarra y prefiero canciones acústicas.,0,ham
El evento de mañana será una charla sobre sostenibilidad ambiental.,0,ham
Me gusta caminar por el parque los domingos por la mañana.,0,ham
"Según el último informe, la inflación se mantiene estable.",0,ham
Recomiendo visitar el museo de arte contemporáneo este fin de semana.,0,ham
Tengo una cita con mi jefe el viernes para revisar el proyecto.,0,ham
¿Alguien sabe dónde puedo encontrar una buena receta de paella?,0,ham
¡Oferta exclusiva! Haz clic aquí y recibe una suscripción gratuita a nuestro servicio premium.,1,spam
Publicidad no solicitada: Compra ahora el nuevo smartphone X100 con 50% de descuento solo por tiempo limitado.,1,spam
¡Urgente! Tu cuenta ha sido seleccionada para recibir un bonificación de 1000€. Responde ahora.,1,spam
"Esquema de enriquecimiento rápido: Invierte 100€ y obtén 10,000€ en 24 horas. Regístrate aquí.",1,spam
Phishing alert: Te enviamos un mensaje de verificación. Haz clic en el siguiente enlace para confirmar tu identidad: http://bit.ly/verify2025,1,spam
Descarga este archivo .exe para mejorar el rendimiento de tu PC. ¡Es 100% seguro!,1,spam
¡Mira esto! Oferta irresistible: compra 2 y paga 1 en todos los productos de belleza. Solo hoy.,1,spam
¡Escucha esta canción exclusiva! Haz clic aquí para descargar el nuevo álbum de tu artista favorito.,1,spam
Contenido para adultos: Visita el sitio web más grande de entretenimiento adulto. Regístrate gratis.,1,spam
¡Descuento del 90%! Compra ahora el nuevo juego de video y recibe un regalo sorpresa.,1,spam
¡MAYUSCULAS Y EXCLAMACIONES!! OFERTA IMPORTANTE: COMPRA YA O PERDERÁS GRANDES AHORROS.,1,spam
¡Sigue nuestra página para recibir consejos de inversión milagrosos! Dinero fácil en 24h.,1,spam
¡MLM! Únete a nuestra red y recibe comisiones ilimitadas por cada nuevo miembro.,1,spam
"Hola, ¿cómo estás? Me gustaría invitarte a tomar café mañana si tienes tiempo.",0,ham
"El clima hoy en Madrid es soleado con temperaturas de 23°C, ideal para un paseo.",0,ham
En la biblioteca del centro comunitario se realizará una charla sobre reciclaje el próximo martes.,0,ham
¿Cuál es tu película favorita? Yo acabo de ver una excelente adaptación de 'Cien años de soledad'.,0,ham
Quiero compartir una receta de paella tradicional que aprendí de mi abuela.,0,ham
