mensaje,spam,label,mensaje_limpio
uso excesivo de mayúsculas y signos de puntuación para captar tu atención!!!!,1,spam,uso excesivo mayúsculas signos puntuación captar atención
el gato de mi vecino siempre se despierta a las 6 de la mañana.,0,ham,gato vecino siempre despierta mañana
hoy fui al parque y observé a los patos nadando en el lago.,0,ham,hoy parque observé patos nadando lago
"¡oye, tienda! si compras 10 unidades, tienen un producto gratis. ¡urgentemente!",1,spam,oye tienda si compras 10 unidades producto gratis urgentemente
"hola, necesito consejos para cultivar tomates en casa. cualquiera puede ayudarme?",0,ham,hola necesito consejos cultivar tomates casa cualquiera puede ayudarme
¡oferta flash: entradas para concierto gratis si comparte este mensaje!,1,spam,oferta flash entradas concierto gratis si comparte mensaje
oferta de adultos: contenido explícito gratuito. haz clic y disfruta.,1,spam,oferta adultos contenido explícito gratuito haz clic disfruta
¿tienes alguna sugerencia de película para este fin de semana?,0,ham,alguna sugerencia película fin semana
"mira esta película completa en línea sin registro, calidad hd.",1,spam,mira película completa línea registro calidad hd
🔥 oferta blessing: envío gratis en pedidos superiores a $100. ¡corre a tu carrito!,1,spam,oferta blessing envío gratis pedidos superiores 100 corre carrito
la reunión del comité se llevará a cabo el próximo martes a las 10:00 en la sala de conferencias.,0,ham,reunión comité llevará cabo próximo martes 1000 sala conferencias
¿cuál es tu libro favorito?,0,ham,cuál libro favorito
¡felicidades! has vinto un iphone 15 gratuitamente. solo haz clic aquí para reclamar tu premio: www.falsopremio.es,1,spam,felicidades vinto iphone 15 gratuitamente solo haz clic aquí reclamar premio wwwfalsopremioes
¿puedes recomendarme algún libro de ciencia ficción?,0,ham,puedes recomendarme algún libro ciencia ficción
¡publicación oficial! la ciudad de sevilla adoptará bicis públicas el próximo mes. #ssecar,0,ham,publicación oficial ciudad sevilla adoptará bicis públicas próximo mes ssecar
¿te gustan los desayunos saludables? ¡compra nuestro suplemento y gana 50% de descuento!,1,spam,gustan desayunos saludables compra suplemento gana 50 descuento
nueva vacante: reclutamos camareros para un nuevo restaurante en heart. ofrecemos formación gratuita.,0,ham,nueva vacante reclutamos camareros nuevo restaurante heart ofrecemos formación gratuita
recordatorio: su cita en el dentista es mañana a las 10 am. confirme aquí,0,ham,recordatorio cita dentista mañana 10 am confirme aquí
¿conoces alguna buena receta de tortilla de patata casera?,0,ham,conoces alguna buena receta tortilla patata casera
publicación nueva: cómo cultivar tomates en casa paso a paso. ¡ideal para amantes de la cocina!,0,ham,publicación nueva cómo cultivar tomates casa paso paso ideal amantes cocina
"¿quieres mejorar tu relación? consigue el manual completo de técnicas avanzadas para seducir a cualquier persona, sin esfuerzo.",1,spam,quieres mejorar relación consigue manual completo técnicas avanzadas seducir cualquier persona esfuerzo
artículo académico sobre la secondary education en méxico. pdf disponible.,0,ham,artículo académico secondary education méxico pdf disponible
"haz dinero rápido con este esquema de inversión secreto, te garantizo ganancias del 200%.",1,spam,haz dinero rápido esquema inversión secreto garantizo ganancias 200
¡sorteo mayoritario! gana un viaje a miami [formulario de inscripción],1,spam,sorteo mayoritario gana viaje miami formulario inscripción
¡avísame si ganas $1m en la lotería 한국: reclama tu premio ahora! 🎟️,1,spam,avísame si ganas 1m lotería reclama premio ahora
invierte en criptomonedas seguras y duplica tu capital,1,spam,invierte criptomonedas seguras duplica capital
"hola, gracias por la invitación. no puedo asistir debido a compromisos familiares.",0,ham,hola gracias invitación puedo asistir debido compromisos familiares
¡nuevo lanzamiento! descarga la aplicación de gestión de tareas gratuita y organiza tu día de manera eficiente. disponible en app store y google play.,0,ham,nuevo lanzamiento descarga aplicación gestión tareas gratuita organiza día manera eficiente disponible app store google play
¡oferta exclusiva! compra ahora y lleva un iphone 15 gratis con tu compra. link: http://spam.com,1,spam,oferta exclusiva compra ahora lleva iphone 15 gratis compra link httpspamcom
el mejor curso de inglés ¡100% gratis! ofertas limitadas. ¡regístrese antes de que se acabe!,0,ham,mejor curso inglés 100 gratis ofertas limitadas regístrese acabe
en la reunión se revisaron los objetivos del trimestre.,0,ham,reunión revisaron objetivos trimestre
recomiendo este nuevo café en madrid. el café es increíble y el pastel también.,0,ham,recomiendo nuevo café madrid café increíble pastel
¡haz clic aquí para ganar un iphone nuevo! sólo necesitas compartir este enlace.,1,spam,haz clic aquí ganar iphone nuevo sólo necesitas compartir enlace
recomendado por vecinos: rentamos puestas de sol por solo $10. consulta en el link adjunto.,1,spam,recomendado vecinos rentamos puestas sol solo 10 consulta link adjunto
actualización del antivirus requerida: proxydriver.exe,1,spam,actualización antivirus requerida proxydriverexe
me encanta el sonido de la lluvia mientras trabajo en mi computadora.,0,ham,encanta sonido lluvia mientras trabajo computadora
urgente: su cuenta de netflix será bloqueada mañana si no confirma su contraseña aquí.,1,spam,urgente cuenta netflix bloqueada mañana si confirma contraseña aquí
¡urgente! oferta increíble!!! compra ya!!!,1,spam,urgente oferta increíble compra
¡oferta sinopsis! servicios deوكول por $5. ¡no hay mejor precio!,1,spam,oferta sinopsis servicios mejor precio
¡advertencia! tu computadora está infectada. descarga nuestro antivirus ahora y elimina el malware antes de que cause daños irreversibles.,1,spam,advertencia computadora infectada descarga antivirus ahora elimina malware cause daños irreversibles
"¡compra ya! 2x1 en nuestros productos, duración 5 minutos, no te lo pierdas!",1,spam,compra 2x1 productos duración minutos pierdas
"te envío una campaña de enriquecimiento rápido, invierte ahora y duplica tu dinero en 24h",1,spam,envío campaña enriquecimiento rápido invierte ahora duplica dinero 24h
